,player,player_id,situation,shot_type,x,y,xG,result,season,match_id
0,Jordi Alba,2093,OpenPlay,RightFoot,104.16000366210938,48.47999877929688,0.0846190005540847,SavedShot,2014,5787
1,Jordi Alba,2093,OpenPlay,LeftFoot,110.28000183105469,54.720001220703125,0.2215750068426132,MissedShots,2014,5804
2,Jordi Alba,2093,SetPiece,LeftFoot,97.43999633789063,39.92000122070312,0.0189734008163213,MissedShots,2014,5813
3,Jordi Alba,2093,OpenPlay,RightFoot,102.6,47.03999938964844,0.0905369967222213,SavedShot,2014,5767
4,Jordi Alba,2093,SetPiece,LeftFoot,84.96000366210937,50.47999877929687,0.0092169102281332,MissedShots,2014,5726
5,Jordi Alba,2093,OpenPlay,LeftFoot,113.63999633789062,42.23999938964844,0.5428670048713684,Goal,2014,5726
6,Jordi Alba,2093,OpenPlay,LeftFoot,111.60000000000001,52.240002441406254,0.3362970054149627,BlockedShot,2014,5738
7,Jordi Alba,2093,OpenPlay,LeftFoot,3.5999999999999996,39.76000061035156,0.0,OwnGoal,2014,5738
8,Jordi Alba,2093,OpenPlay,LeftFoot,106.8,49.6,0.1080909967422485,MissedShots,2014,5738
9,Jordi Alba,2093,OpenPlay,LeftFoot,114.48000183105471,47.03999938964844,0.2838859856128692,SavedShot,2014,5692
10,Jordi Alba,2093,OpenPlay,LeftFoot,93.1199981689453,55.92000122070313,0.0213421992957592,BlockedShot,2014,5698
11,Jordi Alba,2093,OpenPlay,LeftFoot,118.68000183105471,49.36000061035156,0.0924893021583557,SavedShot,2014,5708
12,Jordi Alba,2093,FromCorner,Head,9.720000457763664,42.87999877929687,0.0,OwnGoal,2014,5650
13,Jordi Alba,2093,OpenPlay,LeftFoot,106.8,57.67999877929688,0.0795222967863082,SavedShot,2014,5660
14,Jordi Alba,2093,SetPiece,LeftFoot,106.56000366210938,56.159997558593744,0.0175109002739191,MissedShots,2014,5673
15,Jordi Alba,2093,OpenPlay,LeftFoot,87.96000366210937,52.400000000000006,0.023200599476695,MissedShots,2014,5673
16,Jordi Alba,2093,OpenPlay,Head,107.63999633789062,40.560000610351565,0.237185001373291,MissedShots,2014,5616
17,Jordi Alba,2093,FromCorner,Head,107.4,36.63999938964843,0.0571094006299972,ShotOnPost,2014,5576
18,Jordi Alba,2093,FromCorner,LeftFoot,88.91999816894531,44.23999938964844,0.0273707993328571,MissedShots,2014,5600
19,Jordi Alba,2093,OpenPlay,LeftFoot,103.8,47.52000122070313,0.3717480003833771,SavedShot,2014,5600
20,Jordi Alba,2093,OpenPlay,RightFoot,103.56000366210938,57.040002441406244,0.0385309010744094,MissedShots,2015,1493
21,Jordi Alba,2093,OpenPlay,LeftFoot,107.63999633789062,41.439999389648435,0.5539789795875549,SavedShot,2015,1493
22,Jordi Alba,2093,OpenPlay,RightFoot,111.23999633789064,46.8,0.0888385996222496,MissedShots,2015,1568
23,Jordi Alba,2093,OpenPlay,LeftFoot,104.28000183105469,47.03999938964844,0.348361998796463,SavedShot,2015,1578
24,Jordi Alba,2093,SetPiece,LeftFoot,92.16000366210938,46.8,0.0175988003611564,MissedShots,2015,1637
25,Jordi Alba,2093,OpenPlay,LeftFoot,100.8,57.67999877929688,0.0491634011268615,BlockedShot,2015,1658
26,Jordi Alba,2093,OpenPlay,LeftFoot,110.28000183105469,57.599999999999994,0.0615408010780811,MissedShots,2015,1742
27,Jordi Alba,2093,OpenPlay,LeftFoot,110.28000183105469,54.800000000000004,0.0600613988935947,BlockedShot,2016,1825
28,Jordi Alba,2093,OpenPlay,LeftFoot,94.2,53.44000244140625,0.0161553006619215,MissedShots,2016,2788
29,Jordi Alba,2093,OpenPlay,RightFoot,105.71999816894531,27.200000000000003,0.0567755997180938,MissedShots,2016,3164
30,Jordi Alba,2093,OpenPlay,LeftFoot,109.2,53.359997558593754,0.1187440007925033,Goal,2016,3190
31,Jordi Alba,2093,OpenPlay,LeftFoot,94.3199981689453,50.63999938964844,0.0335175991058349,MissedShots,2016,4039
32,Jordi Alba,2093,OpenPlay,LeftFoot,106.08000183105469,46.560000610351565,0.0770675018429756,MissedShots,2016,4047
33,Jordi Alba,2093,OpenPlay,LeftFoot,109.08000183105469,44.63999938964844,0.3406260013580322,MissedShots,2017,7891
