,#,team,M,W,D,L,G,GA,PTS,xG,xG_diff,NPxG,xGA,xGA_diff,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS,xPTS_diff
0,1,Real Sociedad,9,6,2,1,12,7,20,12.474991000000001,0.47499100000000105,10.241727,8.829343,1.8293429999999997,8.086063,2.1556639999999994,7.5202391188111575,12.48077117949194,61,28,15.711,-4.289
1,2,Osasuna,10,5,3,2,14,13,18,12.540976,-1.4590239999999994,9.567871,9.447506,-3.5524939999999994,8.704227,0.8636440000000003,7.69309533836242,11.125987484737484,67,45,16.310899999999997,-1.6891000000000034
2,3,Sevilla,8,5,2,1,11,3,17,11.967205,0.9672049999999999,11.223925,4.8029344,1.8029343999999998,4.0562304000000005,7.1676946,9.342782585061999,17.706702373129442,50,22,16.069200000000002,-0.9307999999999979
3,4,Atletico Madrid,8,5,2,1,11,6,17,9.867132000000002,-1.1328679999999984,9.867132000000002,5.965796,-0.0342039999999999,5.222519,4.644613,12.529833286823418,14.051321306008807,61,32,14.2148,-2.7851999999999997
4,5,Real Madrid,8,5,2,1,22,10,17,15.1733,-6.826700000000001,14.43015,9.25732,-0.74268,8.514045,5.916104999999999,9.75618772882097,14.386401489091117,98,44,15.4982,-1.5017999999999994
5,6,Rayo Vallecano,9,5,1,3,15,9,16,12.384847,-2.6151529999999994,10.898306999999999,11.832905,2.8329050000000002,8.859788,2.038519000000001,11.13935945275393,6.846943002058092,31,49,13.764,-2.2360000000000007
6,7,Athletic Club,9,4,4,1,9,5,16,13.406126999999998,4.406126999999998,11.176296999999998,7.918715999999999,2.918715999999999,7.918715999999999,3.257581,9.700962289418063,10.322546354217284,57,42,15.863,-0.13700000000000045
7,8,Barcelona,8,4,3,1,14,8,15,14.183366,0.18336599999999947,12.696806,7.098467,-0.9015329999999997,7.098467,5.598339,8.053447447160682,14.688852728761503,53,28,15.329699999999999,0.329699999999999
8,9,Real Betis,9,4,3,2,12,9,15,14.536913,2.536913,14.536913,10.315809,1.3158089999999998,9.57253,4.964383,9.41310692070709,15.36081663668768,91,34,15.2845,0.28449999999999953
9,10,Espanyol,10,3,4,3,10,10,13,10.337105,0.3371049999999993,9.593826,10.791626,0.7916260000000008,10.791626,-1.1978000000000006,13.272087689709172,8.10897462685698,32,84,13.1518,0.1517999999999997
10,11,Valencia,10,3,4,3,15,13,13,11.806805,-3.1931949999999993,10.320241000000001,9.507890999999999,-3.492109000000001,8.764611,1.5556300000000003,8.033093212830055,8.072436335403728,60,64,15.8938,2.8938000000000006
11,12,Mallorca,10,3,3,4,9,15,12,8.977763,-0.022237000000000506,8.977763,12.840765999999999,-2.1592340000000014,12.097486,-3.1197229999999996,10.517696348221858,6.880316770186335,43,82,10.383700000000001,-1.616299999999999
12,13,Villarreal,9,2,5,2,10,7,11,11.248321,1.2483210000000007,11.248321,10.996927,3.9969269999999995,9.510377,1.7379440000000006,10.394227132955203,12.964405903558339,64,51,12.5625,1.5625
13,14,Elche,10,2,4,4,8,12,10,7.960075,-0.03992500000000021,7.960075,12.655839,0.6558390000000003,12.655839,-4.6957640000000005,15.89087691012691,9.384768861225757,30,55,10.0914,0.09140000000000015
14,15,Cadiz,10,1,4,5,7,15,7,10.754171000000001,3.7541710000000013,8.42818,15.675234,0.6752339999999997,12.702122000000001,-4.273942,16.544999609094038,7.5797149796480126,27,74,9.978,2.9779999999999998
15,16,Granada,9,1,4,4,7,13,7,5.2898814000000005,-1.7101185999999995,4.5466014,14.72997,1.7299699999999998,12.500271999999999,-7.953670600000001,12.025852043416409,6.619894408037691,23,79,4.8817,-2.1182999999999996
16,17,Celta Vigo,9,2,1,6,7,12,7,9.206368999999999,2.2063689999999987,7.719945,14.126296,2.126296,11.057151,-3.337206,8.934712057857837,12.61635239000136,61,44,8.8169,1.8169000000000004
17,18,Alaves,9,2,0,7,4,13,6,8.599066,4.5990660000000005,7.112511,14.793519000000002,1.7935190000000016,12.563687,-5.451176,13.059455818689452,7.692376797095491,31,71,8.0481,2.0481
18,19,Levante,9,0,5,4,6,13,5,9.696438,3.6964380000000006,7.466599,12.148045,-0.8519550000000002,11.404765,-3.938166,9.616033765927721,10.801106457954283,34,38,11.6168,6.6168
19,20,Getafe,9,0,2,7,3,13,2,5.404557,2.4045569999999996,4.661276999999999,12.080499,-0.9195010000000003,10.593946,-5.932669,8.691356547059588,9.099901541813306,37,45,6.3850999999999996,4.3850999999999996
