,id,eventId,minute,second,teamId,x,y,expandedMinute,qualifiers,satisfiedEventsTypes,isTouch,matchId,startDate,startTime,score,ftScore,htScore,etScore,venueName,maxMinute,period.value,period.displayName,type.value,type.displayName,outcomeType.value,outcomeType.displayName,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,cardType.value,cardType.displayName,venue,opponent
0,2383432939.0,2,0,0.0,65,0.0,0.0,0,[],[],False,1604529,2022-02-17T00:00:00,2022-02-17T17:45:00,1 : 1,1 : 1,0 : 1,,Camp Nou,98,1,FirstHalf,32,Start,1,Successful,,,,,,,,,,,,,,Camp Nou,Napoli
1,2383432937.0,2,0,0.0,276,0.0,0.0,0,[],[],False,1604529,2022-02-17T00:00:00,2022-02-17T17:45:00,1 : 1,1 : 1,0 : 1,,Camp Nou,98,1,FirstHalf,32,Start,1,Successful,,,,,,,,,,,,,,Camp Nou,Napoli
2,2383432955.0,3,0,1.0,276,50.2,49.7,0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '42.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '53.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.1'}]","[91, 119, 117, 30, 36, 38, 216, 218]",True,1604529,2022-02-17T00:00:00,2022-02-17T17:45:00,1 : 1,1 : 1,0 : 1,,Camp Nou,98,1,FirstHalf,1,Pass,1,Successful,118169.0,53.4,42.2,,,,,,,,,,,Camp Nou,Napoli
3,2383432967.0,4,0,2.0,276,52.7,41.7,0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '0.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '55.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '29.6'}]","[91, 120, 29, 36, 38, 216, 218]",True,1604529,2022-02-17T00:00:00,2022-02-17T17:45:00,1 : 1,1 : 1,0 : 1,,Camp Nou,98,1,FirstHalf,1,Pass,0,Unsuccessful,294193.0,55.1,0.0,,,,,,,,,,,Camp Nou,Napoli
4,2383433031.0,4,0,8.0,65,45.9,100.0,0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '94.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.7'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.6'}]","[91, 212, 35, 38, 215]",True,1604529,2022-02-17T00:00:00,2022-02-17T17:45:00,1 : 1,1 : 1,0 : 1,,Camp Nou,98,1,FirstHalf,1,Pass,1,Successful,44288.0,31.7,94.8,,,,,,,,,,,Camp Nou,Napoli
5,2383433045.0,5,0,13.0,65,28.8,87.6,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '30.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '23.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '43.3'}]","[91, 117, 30, 35, 38, 215, 218]",True,1604529,2022-02-17T00:00:00,2022-02-17T17:45:00,1 : 1,1 : 1,0 : 1,,Camp Nou,98,1,FirstHalf,1,Pass,1,Successful,368091.0,23.6,43.3,,,,,,,,,,,Camp Nou,Napoli
6,2383433073.0,6,0,15.0,65,24.1,44.6,0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '72.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.1'}]","[91, 117, 30, 36, 37, 215, 218]",True,1604529,2022-02-17T00:00:00,2022-02-17T17:45:00,1 : 1,1 : 1,0 : 1,,Camp Nou,98,1,FirstHalf,1,Pass,1,Successful,12712.0,31.1,72.2,,,,,,,,,,,Camp Nou,Napoli
7,2383433087.0,7,0,18.0,65,31.8,71.7,0,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '32.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '26.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 215, 218]",True,1604529,2022-02-17T00:00:00,2022-02-17T17:45:00,1 : 1,1 : 1,0 : 1,,Camp Nou,98,1,FirstHalf,1,Pass,1,Successful,368091.0,31.1,32.3,,,,,,,,,,,Camp Nou,Napoli
8,2383433105.0,8,0,21.0,65,31.1,32.3,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '63.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '33.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.5'}]","[91, 117, 30, 36, 37, 215, 218]",True,1604529,2022-02-17T00:00:00,2022-02-17T17:45:00,1 : 1,1 : 1,0 : 1,,Camp Nou,98,1,FirstHalf,1,Pass,1,Successful,12712.0,33.1,63.8,,,,,,,,,,,Camp Nou,Napoli
9,2383433125.0,9,0,25.0,65,33.5,66.6,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '80.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '33.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.2'}]","[91, 117, 30, 36, 37, 216, 218]",True,1604529,2022-02-17T00:00:00,2022-02-17T17:45:00,1 : 1,1 : 1,0 : 1,,Camp Nou,98,1,FirstHalf,1,Pass,1,Successful,368091.0,33.7,80.1,,,,,,,,,,,Camp Nou,Napoli
