,id,eventId,minute,second,teamId,x,y,expandedMinute,qualifiers,satisfiedEventsTypes,isTouch,matchId,startDate,startTime,score,ftScore,htScore,etScore,venueName,maxMinute,period.value,period.displayName,type.value,type.displayName,outcomeType.value,outcomeType.displayName,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType.value,cardType.displayName,venue,opponent
0,2334974181.0,2,0,0.0,839,0.0,0.0,0,[],[],False,1560169,2021-09-25T00:00:00,2021-09-25T20:00:00,0 : 0,0 : 0,0 : 0,,Santiago Bernabéu,94,1,FirstHalf,32,Start,1,Successful,,,,,,,,,,,,,Santiago Bernabéu,Real Madrid
1,2334974189.0,2,0,0.0,52,0.0,0.0,0,[],[],False,1560169,2021-09-25T00:00:00,2021-09-25T20:00:00,0 : 0,0 : 0,0 : 0,,Santiago Bernabéu,94,1,FirstHalf,32,Start,1,Successful,,,,,,,,,,,,,Santiago Bernabéu,Real Madrid
2,2334974201.0,3,0,0.0,839,50.1,50.0,0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '48.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '44.5'}]","[90, 116, 29, 34, 37, 215, 217]",True,1560169,2021-09-25T00:00:00,2021-09-25T20:00:00,0 : 0,0 : 0,0 : 0,,Santiago Bernabéu,94,1,FirstHalf,1,Pass,1,Successful,95953.0,48.6,44.5,,,,,,,,,,Santiago Bernabéu,Real Madrid
3,2334974233.0,4,0,1.0,839,48.0,44.3,0,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '11.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '40.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[90, 116, 29, 34, 37, 215, 217]",True,1560169,2021-09-25T00:00:00,2021-09-25T20:00:00,0 : 0,0 : 0,0 : 0,,Santiago Bernabéu,94,1,FirstHalf,1,Pass,1,Successful,69738.0,40.4,11.1,,,,,,,,,,Santiago Bernabéu,Real Madrid
4,2334974263.0,5,0,4.0,839,40.5,12.0,0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.8'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '26.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '28.2'}]","[90, 116, 29, 34, 36, 214, 217]",True,1560169,2021-09-25T00:00:00,2021-09-25T20:00:00,0 : 0,0 : 0,0 : 0,,Santiago Bernabéu,94,1,FirstHalf,1,Pass,1,Successful,335107.0,26.0,28.2,,,,,,,,,,Santiago Bernabéu,Real Madrid
5,2334974287.0,6,0,8.0,839,25.7,27.6,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '34.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.4'}]","[90, 116, 29, 35, 36, 215, 217]",True,1560169,2021-09-25T00:00:00,2021-09-25T20:00:00,0 : 0,0 : 0,0 : 0,,Santiago Bernabéu,94,1,FirstHalf,1,Pass,1,Successful,12575.0,35.8,34.0,,,,,,,,,,Santiago Bernabéu,Real Madrid
6,2334974315.0,7,0,9.0,839,36.1,31.8,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '5.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.0'}]","[90, 116, 29, 35, 37, 215, 217]",True,1560169,2021-09-25T00:00:00,2021-09-25T20:00:00,0 : 0,0 : 0,0 : 0,,Santiago Bernabéu,94,1,FirstHalf,1,Pass,1,Successful,28186.0,41.3,5.2,,,,,,,,,,Santiago Bernabéu,Real Madrid
7,2334974327.0,8,0,13.0,839,45.4,5.8,0,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '55.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '23.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[90, 119, 28, 35, 36, 215, 217]",True,1560169,2021-09-25T00:00:00,2021-09-25T20:00:00,0 : 0,0 : 0,0 : 0,,Santiago Bernabéu,94,1,FirstHalf,1,Pass,0,Unsuccessful,335107.0,55.0,23.9,,,,,,,,,,Santiago Bernabéu,Real Madrid
8,2334974331.0,3,0,14.0,52,44.8,77.6,0,[],[92],False,1560169,2021-09-25T00:00:00,2021-09-25T20:00:00,0 : 0,0 : 0,0 : 0,,Santiago Bernabéu,94,1,FirstHalf,49,BallRecovery,1,Successful,88526.0,,,,,,,,,,,,Santiago Bernabéu,Real Madrid
9,2334974391.0,4,0,15.0,52,46.3,77.5,0,"[{'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '33.7'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '100.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '74.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[90, 119, 123, 127, 35, 36, 216, 217]",True,1560169,2021-09-25T00:00:00,2021-09-25T20:00:00,0 : 0,0 : 0,0 : 0,,Santiago Bernabéu,94,1,FirstHalf,1,Pass,0,Unsuccessful,88526.0,74.6,100.0,,,,,,,,,,Santiago Bernabéu,Real Madrid
10,2334974621.0,10,0,45.0,839,32.2,0.0,0,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '11.3'}]","[90, 211, 34, 36, 214]",True,1560169,2021-09-25T00:00:00,2021-09-25T20:00:00,0 : 0,0 : 0,0 : 0,,Santiago Bernabéu,94,1,FirstHalf,1,Pass,1,Successful,335107.0,31.5,11.3,,,,,,,,,,Santiago Bernabéu,Real Madrid
11,2334974661.0,11,0,47.0,839,32.0,13.4,0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '15.5'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '7.4'}]","[90, 116, 29, 34, 37, 214, 217]",True,1560169,2021-09-25T00:00:00,2021-09-25T20:00:00,0 : 0,0 : 0,0 : 0,,Santiago Bernabéu,94,1,FirstHalf,1,Pass,1,Successful,33590.0,15.5,7.4,,,,,,,,,,Santiago Bernabéu,Real Madrid
12,2334974675.0,12,0,50.0,839,16.2,5.9,0,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '13.8'}]","[90, 117, 119, 28, 123, 35, 36, 215, 217]",True,1560169,2021-09-25T00:00:00,2021-09-25T20:00:00,0 : 0,0 : 0,0 : 0,,Santiago Bernabéu,94,1,FirstHalf,1,Pass,0,Unsuccessful,12575.0,38.8,13.8,,,,,,,,,,Santiago Bernabéu,Real Madrid
13,2334974689.0,7,0,52.0,52,60.3,90.3,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '63.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '100.0'}]","[90, 119, 28, 35, 36, 215, 217]",True,1560169,2021-09-25T00:00:00,2021-09-25T20:00:00,0 : 0,0 : 0,0 : 0,,Santiago Bernabéu,94,1,FirstHalf,1,Pass,0,Unsuccessful,88526.0,63.0,100.0,,,,,,,,,,Santiago Bernabéu,Real Madrid
14,2334986327.0,11020,1,,52,57.1,93.6,1,[],[60],False,1560169,2021-09-25T00:00:00,2021-09-25T20:00:00,0 : 0,0 : 0,0 : 0,,Santiago Bernabéu,94,1,FirstHalf,10000,OffsideGiven,0,Unsuccessful,337782.0,,,,,,,,,,,,Santiago Bernabéu,Real Madrid
15,2334974793.0,14,1,1.0,839,35.7,0.0,1,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '8.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '17.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.8'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[90, 211, 34, 36, 214]",True,1560169,2021-09-25T00:00:00,2021-09-25T20:00:00,0 : 0,0 : 0,0 : 0,,Santiago Bernabéu,94,1,FirstHalf,1,Pass,1,Successful,335107.0,17.1,8.5,,,,,,,,,,Santiago Bernabéu,Real Madrid
16,2334974815.0,15,1,3.0,839,12.7,13.8,1,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '31.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '2.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.3'}]","[90, 116, 29, 34, 36, 214, 217]",True,1560169,2021-09-25T00:00:00,2021-09-25T20:00:00,0 : 0,0 : 0,0 : 0,,Santiago Bernabéu,94,1,FirstHalf,1,Pass,1,Successful,12575.0,2.8,31.3,,,,,,,,,,Santiago Bernabéu,Real Madrid
17,2334974875.0,16,1,6.0,839,3.8,31.2,1,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '16.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '31.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.1'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[90, 116, 29, 35, 36, 214, 217]",True,1560169,2021-09-25T00:00:00,2021-09-25T20:00:00,0 : 0,0 : 0,0 : 0,,Santiago Bernabéu,94,1,FirstHalf,1,Pass,1,Successful,125375.0,16.3,31.3,,,,,,,,,,Santiago Bernabéu,Real Madrid
