club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season
Brighton & Hove Albion,Anthony Barness,32,England,Right-Back,RB,-,Bolton,England,free transfer,in,summer,championship,2005
Brighton & Hove Albion,Bojan Djordjic,23,Sweden,Left Winger,LW,-,Rangers,Scotland,free transfer,in,summer,championship,2005
Brighton & Hove Albion,Rufus Brevett,35,England,Left-Back,LB,-,West Ham,England,free transfer,in,summer,championship,2005
Brighton & Hove Albion,Taribo West,31,Nigeria,Left-Back,LB,-,Al-Arabi SC,Qatar,free transfer,in,summer,championship,2005
Brighton & Hove Albion,Nuno Mendes,27,Portugal,Centre-Back,CB,-,Santa Clara,Portugal,free transfer,in,summer,championship,2005
Brighton & Hove Albion,Chris Zebroski,18,England,attack,attack,-,Cirencester,England,free transfer,in,summer,championship,2005
Brighton & Hove Albion,Matt Derbyshire,19,England,Centre-Forward,CF,€400Th.,Blackburn Res.,England,loan transfer,in,summer,championship,2005
Brighton & Hove Albion,Peter Gilbert,21,Wales,Left-Back,LB,-,Leicester,England,€300Th.,out,summer,championship,2005
Brighton & Hove Albion,Steven Milne,25,Scotland,Centre-Forward,CF,-,St. Johnstone,Scotland,free transfer,out,summer,championship,2005
Brighton & Hove Albion,David Worrell,27,Ireland,Right-Back,RB,-,Rotherham,England,free transfer,out,summer,championship,2005
Brighton & Hove Albion,Graham Coughlan,30,Ireland,Centre-Back,CB,-,Sheff Wed,England,free transfer,out,summer,championship,2005
Brighton & Hove Albion,Gary Sawyer,20,England,Centre-Back,CB,-,Exeter City,England,loan transfer,out,summer,championship,2005
Brighton & Hove Albion,Leon Clarke,21,England,Centre-Forward,CF,€300Th.,Wolves,England,?,out,summer,championship,2005
Brighton & Hove Albion,Anthony Pulis,21,Wales,Central Midfield,CM,-,Stoke City,England,"End of loanMay 1, 2006",out,summer,championship,2005
Brighton & Hove Albion,Vincent Péricard,23,France,Centre-Forward,CF,-,Portsmouth,England,"End of loanMay 1, 2006",out,summer,championship,2005
Brighton & Hove Albion,Dexter Blackstock,19,Antigua and Barbuda,Centre-Forward,CF,-,Southampton,England,"End of loanJun 30, 2005",out,summer,championship,2005
Brighton & Hove Albion,Lilian Nalis,34,France,Central Midfield,CM,-,Sheff Utd,England,free transfer,in,winter,championship,2005
Brighton & Hove Albion,Leon Clarke,21,England,Centre-Forward,CF,€300Th.,Wolves,England,free transfer,in,winter,championship,2005
Brighton & Hove Albion,Elliott Ward,20,England,Centre-Back,CB,-,West Ham,England,loan transfer,in,winter,championship,2005
Brighton & Hove Albion,Jason Jarrett,26,England,Central Midfield,CM,-,Norwich,England,loan transfer,in,winter,championship,2005
Brighton & Hove Albion,Anthony Pulis,21,Wales,Central Midfield,CM,-,Stoke City,England,loan transfer,in,winter,championship,2005
Brighton & Hove Albion,Vincent Péricard,23,France,Centre-Forward,CF,-,Portsmouth,England,loan transfer,in,winter,championship,2005
Brighton & Hove Albion,Scott Taylor,29,England,Centre-Forward,CF,-,MK Dons,England,€150Th.,out,winter,championship,2005
Brighton & Hove Albion,Bjarni Gudjónsson,26,Iceland,Right Midfield,RM,-,ÍA Akranes,Iceland,free transfer,out,winter,championship,2005
Brighton & Hove Albion,Rufus Brevett,36,England,Left-Back,LB,-,Leicester,England,loan transfer,out,winter,championship,2005
Brighton & Hove Albion,Keith Lasley,26,Scotland,Defensive Midfield,DM,-,Blackpool,England,loan transfer,out,winter,championship,2005
Brighton & Hove Albion,Jason Jarrett,26,England,Central Midfield,CM,-,Norwich,England,"End of loanDec 31, 2005",out,winter,championship,2005
Brighton & Hove Albion,Elliott Ward,21,England,Centre-Back,CB,-,West Ham,England,"End of loanFeb 1, 2006",out,winter,championship,2005
Brighton & Hove Albion,Matt Derbyshire,19,England,Centre-Forward,CF,€400Th.,Blackburn Res.,England,"End of loanDec 31, 2005",out,winter,championship,2005
Burnley FC,Sammy Igoe,29,England,Central Midfield,CM,-,Swindon Town,England,free transfer,in,summer,championship,2005
Burnley FC,Jamie Vincent,30,England,Left-Back,LB,-,Derby,England,free transfer,in,summer,championship,2005
Burnley FC,Carl Asaba,32,England,Centre-Forward,CF,-,Stoke City,England,free transfer,in,summer,championship,2005
Burnley FC,Fangueiro,28,Portugal,Right Winger,RW,-,Leiria,Portugal,free transfer,in,summer,championship,2005
