id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
227,Robert Lewandowski,34,2955,35,37.92407862842083,3,4.701289594173431,160,37,2,0,F,Bayern Munich,30,34.13519524037838,41.541000321507454,7.8270527217537165
1236,Patrik Schick,27,2127,24,20.005182925611734,3,2.0758209405466914,90,16,0,0,F S,Bayer Leverkusen,23,18.489629540592432,20.315171191468835,3.1471505276858807
8260,Erling Haaland,24,1917,22,17.03095668926835,7,5.89400115981698,80,23,3,0,F S,Borussia Dortmund,16,12.484377015382051,19.772439118474722,4.2647324707359076
137,Anthony Modeste,32,2639,20,16.318573143333197,3,3.310553466901183,107,20,3,0,F S,FC Cologne,19,15.560876872390509,18.01862184330821,1.727982360869646
3300,Christopher Nkunku,34,2750,20,15.5895731523633,13,9.910540371201932,82,63,2,0,F M S,RasenBallsport Leipzig,19,14.831796534359455,28.345625333487988,6.817458281293511
7814,Taiwo Awoniyi,31,2227,15,14.850254900753498,1,2.319054774940014,67,27,1,0,F S,Union Berlin,13,13.334701485931873,17.14734075218439,4.1540735606104136
993,Serge Gnabry,34,2205,14,10.994995197281241,5,10.51902474462986,68,48,0,0,D M S,Bayern Munich,14,10.994995197281241,31.48376376181841,12.264741390943527
6556,Moussa Diaby,32,2793,13,8.830643031746149,12,10.126421315595508,54,61,8,1,F M,Bayer Leverkusen,13,8.072866354137659,26.78652249276638,10.381310181692243
155,Max Kruse,30,2445,12,10.581552179530263,5,6.662426367402077,50,43,1,0,F M,"Union Berlin,Wolfsburg",7,6.792668705806136,17.13086774945259,5.982362028211355
320,Jonas Hofmann,26,2090,12,7.792509380728006,5,6.240602491423488,54,68,1,0,M S,Borussia M.Gladbach,12,7.792509380728006,16.55313802137971,6.86244547739625
6170,André Silva,33,2091,11,14.702842473983765,3,3.3566196635365486,58,16,1,0,F S,RasenBallsport Leipzig,8,12.429512470960617,18.845163775607944,6.542918352410197
7108,Jonathan Burkardt,34,2678,11,13.565471600741148,3,2.9118200726807117,81,33,0,0,F M S,Mainz 05,10,12.807694982737303,17.72022034227848,3.3237847723066807
3310,Alassane Pléa,33,2074,10,8.96939954161644,6,8.780589308589697,61,55,4,0,F M S,Borussia M.Gladbach,7,6.696069426834583,18.875657875090837,7.468021305277944
7881,Sebastian Polter,33,2349,10,10.938557079061866,1,2.0615439787507057,56,28,2,0,F S,Bochum,9,9.423003705218434,11.747976021841168,2.393622693605721
171,Michael Gregoritsch,25,1395,9,4.369346441701055,0,0.8606634940952063,42,7,3,0,F M S,Augsburg,8,3.6115697640925646,5.255165049806237,1.9906827099621296
216,Branimir Hrgota,34,2809,9,9.191541804932058,5,3.20737730152905,65,35,4,0,F M S,Greuther Fuerth,4,5.402738935314119,9.977127257734537,2.961388953961432
261,Julian Brandt,31,2086,9,4.578342599794269,8,4.4584304839372635,34,44,3,0,F M S,Borussia Dortmund,9,4.578342599794269,16.893324118107557,11.891067918390036
319,Marco Reus,29,2527,9,11.509924992918968,13,7.620962498709559,51,53,2,0,F M,Borussia Dortmund,9,11.509924992918968,25.1498545659706,10.962540957145393
5266,Vincenzo Grifo,34,2812,9,10.03131796978414,7,8.531842697411776,69,63,0,0,F M S,Freiburg,4,5.4848997462540865,13.54621920734644,7.771420005708933
5356,Breel Embolo,29,2164,9,8.977550439536572,3,4.565342178568244,48,34,3,0,F M S,Borussia M.Gladbach,9,8.977550439536572,15.063870947808027,4.299401407130063
224,Thomas Müller,32,2618,8,11.052322058938444,18,13.407167751342058,55,83,0,0,M,Bayern Munich,8,11.052322058938444,34.31427654623985,16.859242608770728
4340,Grischa Prömel,29,2440,8,8.07112531363964,1,1.1743148183450103,37,13,4,0,M S,Union Berlin,8,8.07112531363964,9.605559162795544,3.9282854683697224
5113,Santos Borré,31,2409,8,7.775671476498246,4,3.3838929180055857,53,29,5,0,F M S,Eintracht Frankfurt,8,7.775671476498246,12.947342216968536,3.4065631311386824
6544,Lukas Nmecha,25,1637,8,9.073004644364119,0,2.33337658457458,52,14,5,0,F M S,Wolfsburg,8,9.073004644364119,12.66457936167717,3.2212452506646514
6937,Georginio Rutter,33,1595,8,7.002920591272414,2,3.1405571214854717,53,15,2,0,F M S,Hoffenheim,8,7.002920591272414,12.401513984426856,4.473396310582757
9352,Masaya Okugawa,33,2562,8,4.0682315323501825,1,1.7504920614883304,32,28,0,0,F M S,Arminia Bielefeld,8,4.0682315323501825,6.291964704170823,0.7674043821170926
337,Leroy Sané,32,1973,7,10.870582464151084,7,7.3628221694380045,89,50,3,0,M S,Bayern Munich,7,10.870582464151084,26.999573092907667,12.792521201074123
6271,Ihlas Bebou,28,2135,7,9.829366251826286,2,1.870520451106131,43,20,0,0,D F M S,Hoffenheim,7,9.829366251826286,15.228937935084105,4.538651864975691
6475,Lucas Höler,34,2611,7,10.049272839911282,2,5.470114768482745,60,38,2,0,F M S,Freiburg,7,10.049272839911282,17.548886557109654,6.691775754094124
7422,Christoph Baumgartner,29,1907,7,8.59366837143898,2,4.4333472438156605,42,21,5,0,F M S,Hoffenheim,7,8.59366837143898,16.318972720764577,6.641672222875059
