id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
227,Robert Lewandowski,15,1167,13,12.237818919122219,4,2.3214582968503237,55,16,0,1,F S,Barcelona,13,11.494542919099331,17.950766317546368,5.232944188639522
866,Joselu,19,1710,11,9.222191661596298,2,1.555309621617198,50,12,1,0,F,Espanyol,8,6.992361642420292,8.35590161755681,1.0363294947892427
2370,Karim Benzema,10,899,9,10.898724526166916,1,2.1372008807957172,47,21,0,0,F,Real Madrid,6,7.925611078739166,10.403184056282043,3.6585288010537624
2290,Iago Aspas,18,1476,8,5.358815856277943,3,4.291543440893292,39,49,1,0,F S,Celta Vigo,7,3.872260130941868,9.57603207975626,3.5017967764288187
2543,Borja Iglesias,16,1217,8,7.285915032029152,2,1.8003325052559376,33,10,0,1,F S,Real Betis,5,5.05621100962162,7.4850123673677444,1.3600705415010452
6531,Alexander Sørloth,14,1126,8,7.372875265777111,1,1.4540829304605722,31,17,2,0,F,Real Sociedad,8,7.372875265777111,11.058958873152733,2.451740674674511
9002,Vedat Muriqi,16,1409,8,7.566380925476551,1,1.0691327997483313,39,13,4,1,F,Mallorca,6,5.33655297011137,6.720393180847168,1.1010798905044794
1804,Álvaro Morata,18,1088,7,7.022331289947033,1,0.8937004711478949,39,12,3,0,F S,Atletico Madrid,7,7.022331289947033,7.110058132559061,1.5676146186888218
6227,Brais Méndez,17,1370,7,4.48078978061676,3,2.3286240976303816,36,23,5,0,M S,Real Sociedad,7,4.48078978061676,8.380171734839678,4.107950381934643
6955,Ezequiel Ávila,16,1080,7,4.834700597450137,1,1.9140141680836678,40,14,5,1,F M S,Osasuna,5,2.604866998270154,5.1049736477434635,1.0987055711448193
2270,Antoine Griezmann,18,1075,6,4.557237703353167,6,6.534217581152916,42,35,0,0,F M S,Atletico Madrid,6,4.557237703353167,12.002308622002602,4.580973459407687
6241,Federico Valverde,17,1364,6,1.767418246716261,2,3.4760428480803967,32,27,1,0,F M S,Real Madrid,6,1.767418246716261,11.259322538971901,7.759561117738485
7008,Vinícius Júnior,17,1505,6,6.798118267208338,3,4.409865207970142,42,28,4,0,F,Real Madrid,6,6.798118267208338,14.941016346216202,5.170876834541559
1709,Cristhian Stuani,14,586,5,6.024658568203449,0,0.3600922813639045,20,6,4,0,F S,Girona,2,3.051553636789322,3.244574410840869,0.21673892997205257
2399,Iñaki Williams,18,1491,5,6.439288670197129,1,2.7635269463062286,39,15,0,0,F M,Athletic Club,5,5.6960136238485575,9.813139354810119,2.0881383968517184
3226,Ousmane Dembélé,17,1103,5,3.430987885221839,5,4.718661515973508,38,34,4,0,F M S,Barcelona,5,3.430987885221839,11.986149430274963,5.175469063222408
3294,Edinson Cavani,10,711,5,5.136074796319008,1,0.593985415995121,22,5,3,0,F,Valencia,3,2.9062413405627012,3.6664130724966526,0.3808933990076184
5095,Sergio León,15,786,5,3.572488324716687,1,1.142400911077857,19,8,0,1,F S,Real Valladolid,4,2.0859290305525064,3.1500305328518152,0.09807410091161728
6219,Enes Ünal,18,1585,5,3.7988910945132375,3,1.65162062831223,40,13,4,0,F,Getafe,5,3.055618134327233,4.6056197583675385,0.8292055018246174
7020,Gorka Guruzeta,11,398,5,3.117836563847959,0,0.21500659547746181,22,3,1,0,F S,Athletic Club,5,3.117836563847959,3.8046083617955446,0.9843486808240414
9812,Isi Palazón,17,1360,5,3.6011637076735497,3,1.8216385645791888,42,20,3,0,M S,Rayo Vallecano,4,2.114732004702091,3.7191806323826313,1.896161220036447
2120,Gerard Moreno,10,751,4,6.357503175735474,2,1.3254315964877605,25,13,2,0,F S,Villarreal,3,4.870947897434235,6.659496083855629,1.4673626590520144
2252,Borja Mayoral,18,1483,4,4.864100176841021,0,1.1709168292582035,27,9,3,0,F M,Getafe,4,4.12082215026021,5.891099404543638,0.7899424731731415
2275,Ángel Correa,17,682,4,4.425145402550697,0,2.915562964975834,26,14,2,0,F M S,Atletico Madrid,4,4.425145402550697,7.2475059032440186,1.7118859328329563
3211,Martin Braithwaite,14,1141,4,4.258766282349825,1,0.5327973272651434,24,5,2,1,F M,Espanyol,4,4.258766282349825,5.111318178474903,1.3835381045937538
7528,Sergio Camello,18,1303,4,3.9679890796542168,3,1.6490738820284605,38,16,1,0,F S,Rayo Vallecano,4,3.9679890796542168,5.767523692920804,1.1303354632109404
7779,Oihan Sancet,18,1236,4,2.1915473993867636,0,1.759356426075101,22,18,2,0,M S,Athletic Club,3,1.448269372805953,6.634474545717239,4.1324766129255295
8015,Rodrygo,15,983,4,7.022785000503063,5,4.04344223998487,43,21,1,0,F S,Real Madrid,3,6.279506973922253,12.892494641244411,4.40596628934145
8294,El Bilal Touré,13,903,4,5.0703410636633635,2,0.43890594132244587,22,10,0,0,F S,Almeria,4,5.0703410636633635,6.263659972697496,1.1127968970686197
8417,Álex Baena,16,872,4,2.3148301728069782,0,2.4401855655014515,30,14,6,1,F M S,Villarreal,4,2.3148301728069782,7.132092576473951,3.9882699884474277
8713,Gabriel Veiga,17,902,4,2.1950198970735073,2,0.9194821193814278,28,9,2,1,M S,Celta Vigo,4,2.1950198970735073,4.69957329519093,1.9272561836987734
8935,Pedri,17,1310,4,2.5487661249935627,0,3.0514512453228235,13,23,1,0,F M S,Barcelona,4,2.5487661249935627,15.72577689960599,12.385793074965477
10948,Valentín Castellanos,17,1321,4,4.72189886122942,0,0.5836384892463684,37,9,5,0,F S,Girona,3,3.9786218479275703,5.042074326425791,1.661026330664754
644,Erik Lamela,17,1179,3,3.257721545174718,0,1.0333248507231474,29,18,5,1,D F M S,Sevilla,3,3.257721545174718,5.181740753352642,2.3689497485756874
1450,Umar Sadiq,5,328,3,1.8637180104851723,0,0.3351791985332966,8,3,1,0,F S,"Almeria,Real Sociedad",3,1.8637180104851723,2.035436175763607,0.05808890238404274
1700,Lucas Pérez,14,601,3,2.633298747241497,0,0.748432575725019,17,4,3,0,F S,Cadiz,3,2.633298747241497,4.280049987137318,1.3587428163737059
2057,Ezequiel Ponce,17,557,3,1.531694557517767,0,0.1929832212626934,13,5,2,0,F S,Elche,3,1.531694557517767,2.3362381532788277,1.0432869084179401
2250,Luka Modric,16,1033,3,2.8881203196942806,2,2.6425855308771133,19,22,3,0,M S,Real Madrid,2,2.14484229311347,10.820698574185371,7.944592401385307
2304,Leo Baptistao,15,898,3,2.0944894440472126,1,1.066702213138342,28,10,4,0,F M S,Almeria,3,2.0944894440472126,3.675599303096533,0.9499261137098074
2424,Óliver Torres,16,1241,3,1.5387866608798504,1,1.5199436247348785,12,20,1,0,F M,Sevilla,3,1.5387866608798504,5.1390895918011665,3.0637766383588314
2589,Rafa Mir,13,751,3,4.504936590790749,0,0.6455513518303633,32,4,1,0,F M S,Sevilla,3,4.504936590790749,5.113004275597632,0.11171537917107344
4175,Pere Milla,17,1103,3,2.1760430559515953,1,1.0974973607808352,18,9,4,0,F M S,Elche,2,1.4327650740742683,3.1778631238266826,1.416163676418364
5073,Florian Lejeune,16,1314,3,1.3301679454743862,0,0.19147332850843668,21,5,2,1,D,Rayo Vallecano,3,1.3301679454743862,1.6304234601557255,1.534036610275507
5091,Alex Berenguer,17,1185,3,3.5558769777417183,1,3.3187833027914166,26,28,0,0,F M S,Athletic Club,3,3.5558769777417183,7.387830639258027,2.7333988957107067
