id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
227,Robert Lewandowski,14,1077,13,11.34012384712696,4,2.2946582287549973,51,15,0,1,F S,Barcelona,13,10.596846297383308,17.164135061204433,4.930684370920062
2543,Borja Iglesias,13,992,8,6.965447053313255,2,1.780620351433754,30,9,0,1,F S,Real Betis,5,4.7357421070337296,7.083343863487244,1.2788673862814903
9002,Vedat Muriqi,12,1060,8,7.412161931395531,1,0.9085313910618424,36,12,3,1,F,Mallorca,6,5.182329043745995,6.107765324413776,0.7253125458955765
866,Joselu,14,1260,7,6.742516964673996,1,0.7607010416686535,39,7,1,0,F,Espanyol,5,5.255961716175079,6.535690538585186,1.036329218186438
2290,Iago Aspas,14,1116,7,3.5198958069086075,2,2.5705330315977335,28,35,1,0,F S,Celta Vigo,6,2.033340573310852,5.400818876922131,2.2571407295763493
6227,Brais Méndez,14,1133,6,3.8963050581514835,2,2.048058096319437,30,18,4,0,M S,Real Sociedad,6,3.8963050581514835,7.517665512859821,3.9507678374648094
6241,Federico Valverde,14,1105,6,1.7493886686861515,2,3.051829993724823,31,24,1,0,F M S,Real Madrid,6,1.7493886686861515,9.29616791754961,6.238646414130926
6955,Ezequiel Ávila,13,869,6,4.300586415454745,1,1.8040775377303362,30,13,3,1,F M S,Osasuna,4,2.0707535725086927,4.352283105254173,0.9900697432458401
7008,Vinícius Júnior,14,1243,6,6.200758710503578,3,4.300311453640461,36,26,3,0,F,Real Madrid,6,6.200758710503578,13.496214181184769,4.3887393325567245
1804,Álvaro Morata,14,877,5,4.80132358148694,1,0.7031529787927866,30,8,3,0,F S,Atletico Madrid,5,4.80132358148694,3.9586819298565388,0.38577783294022083
2270,Antoine Griezmann,14,756,5,2.3550236355513334,3,3.5099896863102913,26,24,0,0,F M S,Atletico Madrid,5,2.3550236355513334,6.183764688670635,2.1903156396001577
2370,Karim Benzema,7,629,5,7.828226819634438,1,1.0508344769477844,34,15,0,0,F,Real Madrid,4,6.3416715413331985,8.153824746608734,2.8006817623972893
2399,Iñaki Williams,14,1173,5,5.927120339125395,1,2.7635279297828674,34,15,0,0,F M,Athletic Club,5,5.183842729777098,9.197747450321913,1.9849189054220915
5095,Sergio León,13,627,5,3.4052009508013725,1,1.069292058236897,16,7,0,0,F S,Real Valladolid,4,1.918645717203617,3.0194002017378807,0.09807412326335907
7020,Gorka Guruzeta,7,181,5,2.58965908177197,0,0.1869082897901535,13,2,1,0,F S,Athletic Club,5,2.58965908177197,3.286877067759633,0.9154467303305864
1709,Cristhian Stuani,10,403,4,4.183144629001617,0,0.3186374679207802,13,4,2,0,F S,Girona,1,1.2100342363119125,1.2511196788400412,0.10625908337533474
3226,Ousmane Dembélé,14,895,4,2.735863910987973,5,4.508561514317989,30,31,3,0,F M S,Barcelona,4,2.735863910987973,11.009383082389832,5.088992141187191
3294,Edinson Cavani,7,450,4,4.216762378811836,1,0.5108960159122944,14,4,0,0,F,Valencia,2,1.9869294855743647,2.7391395196318626,0.38089357409626245
6219,Enes Ünal,14,1236,4,3.310837228782475,2,1.2050160765647888,31,10,3,0,F,Getafe,4,2.567559619434178,3.614147400483489,0.6056977696716785
6531,Alexander Sørloth,10,836,4,5.840085305273533,1,1.247129587456584,24,12,1,0,F,Real Sociedad,4,5.840085305273533,8.732353707775474,1.8222123458981514
8015,Rodrygo,12,921,4,6.514320384711027,4,3.8446141434833407,39,17,1,0,F S,Real Madrid,3,5.77104277536273,12.208367705345154,4.207139372825623
8417,Álex Baena,13,611,4,1.9503511395305395,0,1.4816814288496971,18,11,4,1,F M S,Villarreal,4,1.9503511395305395,4.501959804445505,1.7405119463801384
644,Erik Lamela,13,958,3,2.958358551375568,0,0.909440828487277,23,14,3,1,F M S,Sevilla,3,2.958358551375568,4.732292145490646,2.0799779538065195
1450,Umar Sadiq,5,328,3,1.863716371357441,0,0.3351796930655837,8,3,1,0,F S,"Almeria,Real Sociedad",3,1.863716371357441,2.0354344211518764,0.05808890983462334
2250,Luka Modric,13,945,3,2.7658922374248505,2,2.562127936631441,18,21,3,0,M S,Real Madrid,2,2.0226146280765533,9.45221957191825,6.778820242732763
2275,Ángel Correa,14,496,3,3.0641407556831837,0,1.513204038143158,20,9,1,0,F M S,Atletico Madrid,3,3.0641407556831837,3.9894510358572006,0.589682636782527
2424,Óliver Torres,12,894,3,0.8565335553139448,0,0.7202519401907921,7,13,1,0,M,Sevilla,3,0.8565335553139448,3.4120762571692467,2.148745248094201
3211,Martin Braithwaite,9,721,3,2.85871734470129,1,0.48774263449013233,17,4,2,1,F M,Espanyol,3,2.85871734470129,3.499455524608493,0.4911974538117647
4175,Pere Milla,13,799,3,1.4400906302034855,1,0.7468690127134323,11,8,3,0,F M S,Elche,2,0.6968130208551884,1.717808909714222,0.5557489320635796
5073,Florian Lejeune,12,954,3,1.1708223121240735,0,0.12903371453285217,14,4,2,1,D,Rayo Vallecano,3,1.1708223121240735,1.3297324860468507,1.283976074308157
5091,Alex Berenguer,13,1042,3,3.55587987229228,1,3.187593705020845,26,24,0,0,F M S,Athletic Club,3,3.55587987229228,7.31364032253623,2.704477682709694
7071,Álvaro García,13,1115,3,1.5425447886809707,1,1.4494546353816986,18,13,2,0,D M,Rayo Vallecano,3,1.5425447886809707,3.388200145214796,1.4555983804166317
7779,Oihan Sancet,14,970,3,1.985035634599626,0,1.4346404522657394,17,14,2,0,M S,Athletic Club,2,1.241758025251329,6.077304862439632,4.037861507385969
7829,Eder Militão,12,909,3,1.2043620748445392,0,0.13198576122522354,8,3,1,0,D S,Real Madrid,3,1.2043620748445392,5.175070717930794,5.0693004578351974
7967,Anssumane Fati,14,431,3,6.185212688520551,3,0.8517752606421709,29,6,0,0,F S,Barcelona,3,6.185212688520551,8.325370594859123,2.435797266662121
8002,Rodrigo Riquelme,13,813,3,1.4749425817281008,0,0.5529962508007884,22,6,0,0,F M S,Girona,3,1.4749425817281008,3.8226716443896294,1.9766093529760838
8294,El Bilal Touré,8,583,3,2.5990449115633965,1,0.17819339781999588,12,4,0,0,F S,Almeria,3,2.5990449115633965,3.068363480269909,0.5209256131201982
8713,Gabriel Veiga,13,581,3,0.5071313269436359,1,0.20440023764967918,15,6,2,1,M S,Celta Vigo,3,0.5071313269436359,1.620641928166151,1.0333298202604055
8935,Pedri,14,1040,3,1.714216846972704,0,2.786761488765478,10,18,0,0,M S,Barcelona,3,1.714216846972704,14.539203584194183,12.150636062026024
9211,Nico Williams,14,1099,3,2.7914324067533016,3,2.2644778341054916,24,19,0,0,M S,Athletic Club,3,2.7914324067533016,8.224463004618883,3.3007040917873383
9812,Isi Palazón,13,1021,3,2.2594792041927576,3,1.562210748437792,30,15,1,0,M S,Rayo Vallecano,2,1.5162016246467829,2.765202483162284,1.5939661478623748
10948,Valentín Castellanos,14,1144,3,3.2237243205308914,0,0.5836395230144262,29,9,4,0,F,Girona,3,3.2237243205308914,4.231642499566078,1.077081760391593
696,Falcao,12,377,2,2.527351113036275,0,0.04875889793038368,13,1,2,0,F S,Rayo Vallecano,1,1.7840734738856554,1.997648125514388,0.6166673414409161
897,Juanmi,4,320,2,2.1461332701146603,0,0.030411072075366974,7,1,2,0,M,Real Betis,2,2.1461332701146603,2.4695802442729473,0.29303596913814545
1700,Lucas Pérez,13,569,2,2.525248073041439,0,0.18485304713249207,15,3,3,0,F S,Cadiz,2,2.525248073041439,3.289915796369314,1.0128992181271315
1857,David López,8,696,2,0.8909817598760128,1,0.2962450496852398,6,3,2,0,D M,Girona,2,0.8909817598760128,2.362446490675211,1.997667632997036
2057,Ezequiel Ponce,13,495,2,1.320990962907672,0,0.11252981796860695,12,4,2,0,F S,Elche,2,1.320990962907672,1.649819239974022,0.64802485704422
2104,Sergi Roberto,9,358,2,0.8242195546627045,0,0.6827157102525234,5,4,1,0,D S,Barcelona,2,0.8242195546627045,5.231302302330732,3.980113919824362
2120,Gerard Moreno,6,393,2,3.589590683579445,0,0.17361393570899963,14,4,1,0,F S,Villarreal,2,3.589590683579445,3.516311928629875,0.624582389369607
2253,Lucas Vázquez,8,365,2,0.9076640233397484,0,0.4109304342418909,7,7,1,0,D S,Real Madrid,2,0.9076640233397484,2.894742188975215,1.6893692817538977
2303,Samu Castillejo,10,628,2,1.695260938256979,0,0.6091488488018513,19,12,4,0,F M S,Valencia,2,1.695260938256979,3.257968880236149,1.4481606781482697
2304,Leo Baptistao,11,574,2,1.289896572008729,1,0.7901149392127991,15,7,3,0,F M S,Almeria,2,1.289896572008729,2.2044134847819805,0.4660360123962164
2356,Roque Mesa,12,886,2,0.8348343623802066,1,0.7135781208053231,14,12,4,0,M S,Real Valladolid,2,0.8348343623802066,4.233002915047109,2.9694819301366806
2589,Rafa Mir,9,573,2,3.2781151570379734,0,0.5903573036193848,25,3,1,0,F S,Sevilla,2,3.2781151570379734,3.7774767354130745,0.058202821761369705
2621,Sergi Darder,14,1247,2,1.0586261739954352,1,3.674416571855545,18,32,2,0,F M,Espanyol,2,1.0586261739954352,5.156957682222128,2.944945774972439
3208,Óscar Trejo,12,876,2,2.4238547813147306,2,1.7800271548330784,8,18,6,0,F M S,Rayo Vallecano,1,0.9372995365411043,3.280561786144972,1.2996142888441682
4177,Álex Fernández,12,693,2,1.1515888385474682,0,0.3933244124054909,9,6,0,0,F M S,Cadiz,2,1.1515888385474682,2.325141441076994,1.2028632760047913
5058,Carles Aleñá,13,1049,2,0.7398644061759114,2,0.3662830702960491,13,7,6,0,M,Getafe,2,0.7398644061759114,2.3252401165664196,1.363978324458003
5074,Kike García,14,398,2,2.5641678757965565,0,1.028941661119461,19,6,3,0,F S,Osasuna,1,1.8208902440965176,2.490579891949892,0.2364015206694603
5077,Mikel Vesga,13,916,2,1.2917504580691457,2,0.7759853843599558,12,13,2,0,M S,Athletic Club,1,0.5484728487208486,4.429234340786934,3.6518563702702522
5081,Edu Expósito,13,807,2,0.3253366118296981,2,1.5057448204606771,11,14,0,0,M S,Espanyol,2,0.3253366118296981,2.652913946658373,1.8143852949142456
5666,Mouctar Diakhaby,10,798,2,1.3666883800178766,0,0.07261011004447937,4,2,3,1,D,Valencia,2,1.3666883800178766,2.184694157913327,2.1120840404182673
6441,Ferrán Torres,13,558,2,4.54660976678133,0,2.146957367658615,27,7,3,0,F M S,Barcelona,2,4.54660976678133,8.5999291613698,3.407724417746067
6570,Óscar Rodríguez,13,1011,2,2.584481129422784,0,0.7620820812880993,26,14,2,0,M S,Celta Vigo,2,2.584481129422784,4.136346587911248,2.095335379242897
6926,William Carvalho,13,944,2,2.167683430016041,0,0.21696944534778595,12,4,3,0,M S,Real Betis,2,2.167683430016041,5.129829749464989,3.556409239768982
6963,Justin Kluivert,10,522,2,1.8140801787376404,0,1.563018087297678,12,11,1,0,F M S,Valencia,2,1.8140801787376404,3.772823244333267,0.9795265942811966
7313,Lee Kang-In,14,1110,2,1.0301530826836824,3,3.102024246007204,20,22,4,0,F M S,Mallorca,2,1.0301530826836824,4.14750486984849,1.615856945514679
7528,Sergio Camello,14,959,2,2.704522877931595,2,1.4441997893154621,29,13,0,0,F S,Rayo Vallecano,2,2.704522877931595,4.033390576019883,0.8645416367799044
7529,Iván Martín,2,102,2,0.5523902624845505,0,0.15123790502548218,2,2,0,0,S,Girona,2,0.5523902624845505,1.713707610964775,1.0100793838500977
7781,Frenkie de Jong,13,889,2,2.0921022333204746,1,1.3445754200220108,13,18,0,0,M S,Barcelona,2,2.0921022333204746,9.870868012309074,7.318945698440075
7888,Nemanja Gudelj,12,1038,2,1.1117455707862973,0,0.041590881533920765,18,2,4,0,D M,Sevilla,2,1.1117455707862973,2.0062498580664396,1.2061764169484377
7892,João Félix,12,504,2,2.547314092516899,3,1.3935227505862713,19,8,5,0,F S,Atletico Madrid,2,2.547314092516899,4.517606556415558,0.8360769776627421
8001,Takefusa Kubo,12,872,2,2.342126429080963,2,2.778594948351383,21,12,0,0,F M S,Real Sociedad,2,2.342126429080963,5.982043202966452,1.8429400399327278
8026,Raphinha,13,567,2,3.5556396655738354,2,3.339534003287554,26,20,1,0,F S,Barcelona,2,3.5556396655738354,9.546970576047897,5.418120205402374
8066,Arnaut Danjuma Groeneveld,9,474,2,2.527806155383587,0,0.20873001962900162,8,4,0,0,F S,Villarreal,1,1.7845286056399345,2.224414683878422,0.23115605860948563
8424,Aimar Oroz,12,787,2,2.3451212868094444,1,0.5040801949799061,9,11,3,0,F M S,Osasuna,1,1.6018436774611473,3.2092576306313276,1.2963644284754992
9809,José Ángel Carmona,9,438,2,1.3386146984994411,1,0.36233579367399216,5,2,4,0,D S,Sevilla,2,1.3386146984994411,1.2217554319649935,0.179021080955863
10048,Nicolas Jackson,13,786,2,2.6449340730905533,2,1.9197969809174538,16,8,1,0,F S,Villarreal,2,2.6449340730905533,5.984894726425409,1.6877040304243565
10412,Gastón Álvarez,7,417,2,0.9497556462883949,0,0,2,0,0,1,D S,Getafe,2,0.9497556462883949,0.24348384141921997,0.24348384141921997
10943,Samuel Lino,14,1223,2,3.0809889547526836,0,0.9702408872544765,38,14,3,0,F M,Valencia,2,3.0809889547526836,6.584159582853317,2.9518659822642803
10949,Arnau Martinez,11,820,2,1.0564614720642567,1,1.4257287811487913,12,15,2,0,D S,Girona,2,1.0564614720642567,3.3545515406876802,2.065273445099592
10975,Largie Ramazani,14,804,2,2.433174902573228,0,0.4805016051977873,23,7,4,0,F M S,Almeria,2,2.433174902573228,3.3791780695319176,0.7171962289139628
11057,André Almeida,11,711,2,0.5375603251159191,2,1.482417456805706,8,10,0,0,F M S,Valencia,2,0.5375603251159191,3.3119568414986134,2.4155451729893684
391,David Alaba,14,1168,1,0.78852903470397,3,0.6298664715141058,9,12,3,0,D S,Real Madrid,1,0.78852903470397,5.459671285003424,5.026944939047098
493,Gabriel,10,571,1,1.102429386228323,0,0.2789023295044899,11,4,1,0,D S,Valencia,1,1.102429386228323,1.5266379192471504,1.3888092786073685
497,Francis Coquelin,11,523,1,0.2977447882294655,0,0.7958357483148575,4,4,2,0,M S,Villarreal,1,0.2977447882294655,2.067836783826351,1.2694800067692995
555,Memphis Depay,2,124,1,1.0523141622543335,0,0.09116024523973465,6,3,0,0,F,Barcelona,1,1.0523141622543335,1.6564082652330399,0.710014596581459
842,Oriol Romeu,11,990,1,1.011229407042265,0,0.1491924598813057,11,6,4,0,M,Girona,1,1.011229407042265,4.523596212267876,4.061185419559479
