id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
2815,Quincy Promes,20,1718,16,12.601019613444805,6,6.732060119509697,79,65,6,0,F M S,Spartak Moscow,14,10.33819704502821,19.605469912290573,6.1562342727556825
3262,Malcom,21,1829,16,10.410471234470606,5,4.234412558376789,83,47,1,0,F M,Zenit St. Petersburg,16,10.410471234470606,18.536410003900528,6.763769492506981
10636,Vladimir Sychevoy,19,1282,14,9.016465308144689,1,2.558757462538779,65,18,4,0,F M S,"FC Orenburg,Krylya Sovetov Samara",13,8.262190284207463,8.78463093843311,1.2324695456773043
5454,Fedor Chalov,21,1670,13,11.974804922938347,1,4.335419058799744,62,31,2,0,F M,CSKA Moscow,10,9.711978606879711,14.521533753722906,2.473591849207878
2771,Christian Noboa,18,1487,10,8.183836102485657,2,3.2913898676633835,38,37,3,0,M S,PFC Sochi,4,2.9039146937429905,8.188061598688364,4.994726225733757
48,Jhon Córdoba,16,1338,9,6.924131787382066,2,1.6480156816542149,49,15,6,0,F,FC Krasnodar,9,6.1698578065261245,9.037110663950443,2.1774601824581623
5397,Alexander Sobolev,21,1617,9,9.198145665228367,5,3.645254136994481,67,26,9,0,F S,Spartak Moscow,8,8.443870343267918,14.177403293550014,4.557783275842667
8782,Eduard Spertsyan,20,1750,9,6.471763305366039,8,4.175775973126292,56,47,6,0,M,FC Krasnodar,6,4.208938263356686,8.992747455835342,3.4578691627830267
2775,Dmitriy Poloz,20,1581,8,7.609524739906192,0,1.9818380661308765,31,27,4,0,F M S,FC Rostov,2,2.3296039514243603,4.718443118035793,1.1822684779763222
3015,Nikolay Komlichenko,20,1693,8,5.191310849040747,5,2.6917756982147694,32,23,4,0,F,FC Rostov,7,3.682762546464801,6.592196537181735,2.3544653840363026
7761,Timur Suleymanov,20,1349,8,5.0983969192020595,1,0.48029573261737823,44,9,2,1,F M S,Nizhny Novgorod,7,4.344121243339032,5.626718893181533,0.9444880709052086
9590,Ivan Sergeev,17,867,8,6.93154975771904,4,2.0478257723152637,29,13,0,0,F S,Zenit St. Petersburg,8,6.93154975771904,9.574192601256073,1.002518187277019
2925,Fedor Smolov,17,1226,7,6.572680987417698,2,2.3533105961978436,39,24,1,0,F S,Dinamo Moscow,4,4.3098460882902145,9.239355999976397,2.9516150588169694
5417,Mohamed Konate,18,928,7,4.448771893978119,1,0.35146421380341053,27,6,1,1,F S,FK Akhmat,7,4.448771893978119,5.8518231101334095,1.3335835095494986
8984,Wendel,20,1724,7,3.3380339415743947,2,3.6616442520171404,37,31,2,0,M,Zenit St. Petersburg,7,3.3380339415743947,15.901311982423067,10.656376481056213
9049,Konstantin Tyukavin,21,916,7,5.034065417945385,1,0.7108070701360703,33,5,0,0,F S,Dinamo Moscow,7,5.034065417945385,7.412400662899017,1.7343456791713834
3026,Artem Timofeev,20,1660,6,2.8686907598748803,0,1.0825136806815863,36,16,4,0,M,FK Akhmat,6,2.8686907598748803,4.827573345974088,2.610564798116684
3063,Artem Dzyuba,4,318,6,2.697313368320465,1,0.6657136082649231,10,4,0,0,F,Lokomotiv Moscow,6,1.9430380463600159,2.520206183195114,0.4816937893629074
