id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
1209,Ciro Immobile,31,2731,27,22.364812191575766,2,2.586888092570007,118,27,4,0,F,Lazio,20,15.513122890144587,20.604711711406708,4.541599876247346
7084,Dusan Vlahovic,36,2948,24,18.232166844420135,3,3.11763958260417,119,29,4,0,F S,"Fiorentina,Juventus",19,13.664373773150146,19.07835620455444,5.176783538423479
7006,Lautaro Martínez,35,2334,21,24.570457266643643,3,3.6040150905027986,118,28,6,0,F M S,Inter,18,20.00266440398991,24.54173400066793,5.153753200545907
702,Tammy Abraham,37,3122,17,20.96666674129665,4,4.464711232110858,94,37,9,0,F S,Roma,14,18.682770324870944,20.72293733805418,2.7717349799349904
1102,Giovanni Simeone,36,2690,17,11.989416888915002,5,3.366606656461954,70,23,8,0,F S,"Cagliari,Verona",17,11.228118053637445,18.442930202931166,4.705601517111063
6253,Gianluca Scamacca,36,2166,16,11.125877079553902,0,2.155939149670303,79,25,7,0,F S,Sassuolo,15,10.364578244276345,15.934032785706222,5.10666027944535
1612,Domenico Berardi,33,2867,15,12.496555398218334,15,9.718378961086273,110,83,9,0,F M,Sassuolo,9,7.9288429049775,23.204075060784817,10.173859843984246
865,Marko Arnautovic,33,2712,14,15.744556203484535,1,3.6208171052858233,91,43,6,0,F S,Bologna,12,13.46065966784954,18.33075585309416,5.762818826362491
5322,Victor Osimhen,27,1983,14,12.610245332121849,2,2.233757859095931,91,18,5,1,F S,Napoli,14,12.610245332121849,14.784392558038235,2.4785417690873146
591,Gerard Deulofeu,34,2653,13,9.10517530143261,5,7.805356377735734,78,82,9,0,F M S,Udinese,12,8.343876466155052,16.603257656097412,5.253806779161096
1134,Mario Pasalic,37,2021,13,10.014757543802261,6,5.651000928133726,50,39,3,0,F M S,Atalanta,13,10.014757543802261,18.693732930347323,5.4832920506596565
1253,Edin Dzeko,36,2478,13,16.463184151798487,5,4.338646363466978,87,37,2,0,F S,Inter,13,16.463184151798487,23.870784433558583,7.590863203629851
1592,João Pedro,37,3330,13,12.936743332073092,4,3.605144686996937,91,28,9,0,F,Cagliari,10,9.891548125073314,15.29169787839055,4.556439699605107
4895,Andrea Pinamonti,36,2871,13,12.275347287766635,2,3.3731043562293053,89,29,4,0,F S,Empoli,9,9.230152050964534,13.560799503698945,3.3956176843494177
1170,Gianluca Caprari,35,2777,12,7.1541936583817005,7,6.82269558031112,67,63,4,0,F M S,Verona,10,5.631595987826586,23.104429602622986,13.38076201826334
502,Olivier Giroud,29,1927,11,11.489898784086108,3,2.9010904040187597,63,26,4,0,F S,AC Milan,9,9.967301232740283,12.08656076528132,3.498320870101452
1384,Dries Mertens,30,1377,11,5.347361974418163,1,3.349072877317667,45,33,2,0,F M S,Napoli,10,4.586063124239445,10.522610120475292,4.893699621781707
1393,Lorenzo Insigne,32,2322,11,15.739550383761525,9,6.324583985842764,94,63,2,0,F M S,Napoli,2,5.842785404995084,14.984536487609148,7.264444351196289
1543,Sergej Milinkovic-Savic,37,3121,11,8.492888427339494,11,7.113517494872212,75,52,4,1,M S,Lazio,11,8.492888427339494,18.034984285011888,11.111054537817836
6208,Antonin Barak,29,2355,11,10.653815092518926,4,3.349054705351591,51,28,4,0,F M S,Verona,7,7.608619825914502,16.001810083165765,8.33545586001128
