,Ansu Fati,Antoine Griezmann,Clément Lenglet,Frenkie de Jong,Gerard Piqué,Jordi Alba,Lionel Messi,Miralem Pjanic,Neto,Ousmane Dembélé,Pedri,Philippe Coutinho,Sergi Roberto,Sergio Busquets,Trincão,Ronald Araujo,Sergiño Dest,Riqui Puig,Martin Braithwaite,Marc-André ter Stegen,Carles Aleñá,Junior Firpo,Óscar Mingueza,Samuel Umtiti,Ilaix Moriba
Ansu Fati,4.0,4,4.0,7,2.0,7.0,7,1.0,3.0,2.0,3.0,6.0,5.0,6,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Griezmann,5.0,19,50.0,76,29.0,74.0,78,16.0,9.0,42.0,68.0,16.0,32.0,67,21.0,23.0,48.0,8.0,23.0,42.0,1.0,9.0,46.0,20.0,24.0
Clément Lenglet,5.0,70,52.0,111,32.0,107.0,94,19.0,10.0,51.0,85.0,28.0,21.0,87,12.0,52.0,44.0,16.0,9.0,82.0,0.0,7.0,57.0,19.0,33.0
Frenkie de Jong,24.0,100,125.0,113,32.0,147.0,140,43.0,13.0,83.0,132.0,44.0,46.0,129,48.0,78.0,94.0,26.0,45.0,114.0,3.0,11.0,113.0,30.0,42.0
Jordi Alba,34.0,213,158.0,134,62.0,179.0,184,65.0,22.0,121.0,165.0,42.0,39.0,158,46.0,76.0,82.0,25.0,48.0,119.0,7.0,0.0,84.0,37.0,37.0
Lionel Messi,17.0,103,120.0,124,48.0,157.0,79,72.0,17.0,99.0,144.0,42.0,50.0,182,42.0,92.0,114.0,38.0,47.0,51.0,19.0,16.0,87.0,16.0,67.0
Philippe Coutinho,23.0,16,23.0,25,7.0,25.0,34,6.0,7.0,3.0,8.0,8.0,11.0,28,3.0,3.0,9.0,0.0,34.0,4.0,0.0,2.0,17.0,0.0,0.0
Sergi Roberto,11.0,42,48.0,53,39.0,48.0,77,10.0,17.0,41.0,42.0,19.0,27.0,30,16.0,14.0,12.0,0.0,2.0,23.0,0.0,0.0,11.0,7.0,9.0
Sergio Busquets,24.0,120,102.0,144,68.0,115.0,112,35.0,9.0,88.0,114.0,27.0,34.0,95,31.0,53.0,94.0,18.0,46.0,79.0,2.0,23.0,76.0,45.0,31.0
Gerard Piqué,7.0,34,54.0,64,36.0,65.0,75,26.0,19.0,27.0,65.0,12.0,42.0,81,5.0,12.0,45.0,12.0,1.0,32.0,0.0,0.0,24.0,2.0,14.0
Ronald Araujo,2.0,33,51.0,104,21.0,44.0,54,18.0,2.0,32.0,63.0,14.0,16.0,73,31.0,14.0,46.0,6.0,22.0,69.0,0.0,4.0,95.0,8.0,21.0
Sergiño Dest,3.0,56,64.0,128,53.0,127.0,135,58.0,11.0,55.0,121.0,16.0,6.0,150,33.0,64.0,50.0,18.0,17.0,65.0,0.0,1.0,50.0,10.0,26.0
Trincão,1.0,12,27.0,53,17.0,19.0,69,19.0,1.0,16.0,18.0,2.0,19.0,37,25.0,17.0,49.0,17.0,2.0,24.0,5.0,19.0,56.0,0.0,4.0
Pedri,5.0,108,129.0,110,45.0,161.0,139,37.0,7.0,93.0,113.0,10.0,30.0,107,55.0,34.0,85.0,3.0,42.0,60.0,0.0,1.0,49.0,29.0,8.0
Miralem Pjanic,2.0,25,40.0,40,8.0,39.0,44,22.0,3.0,26.0,35.0,15.0,13.0,19,31.0,13.0,42.0,13.0,14.0,70.0,0.0,30.0,24.0,27.0,0.0
Ousmane Dembélé,1.0,48,57.0,67,26.0,72.0,72,20.0,0.0,74.0,98.0,0.0,30.0,51,6.0,9.0,75.0,38.0,7.0,21.0,9.0,7.0,57.0,9.0,8.0
Neto,0.0,11,12.0,25,26.0,24.0,16,6.0,12.0,0.0,2.0,12.0,13.0,10,16.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0
Marc-André ter Stegen,0.0,20,110.0,135,68.0,91.0,106,24.0,0.0,64.0,88.0,12.0,24.0,87,37.0,62.0,66.0,23.0,18.0,54.0,7.0,20.0,100.0,26.0,33.0
Carles Aleñá,0.0,3,0.0,3,0.0,6.0,6,3.0,0.0,3.0,0.0,0.0,0.0,3,3.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0
Junior Firpo,0.0,19,9.0,18,0.0,0.0,10,18.0,5.0,5.0,10.0,20.0,0.0,19,13.0,8.0,0.0,18.0,10.0,37.0,5.0,10.0,16.0,3.0,9.0
Martin Braithwaite,0.0,11,26.0,58,6.0,44.0,43,10.0,0.0,13.0,35.0,10.0,3.0,23,5.0,11.0,10.0,8.0,1.0,19.0,3.0,2.0,17.0,8.0,21.0
Óscar Mingueza,0.0,63,87.0,153,22.0,77.0,138,13.0,5.0,28.0,78.0,14.0,12.0,80,24.0,63.0,42.0,36.0,40.0,78.0,1.0,24.0,56.0,15.0,20.0
Samuel Umtiti,0.0,20,15.0,32,7.0,29.0,21,10.0,1.0,10.0,20.0,0.0,9.0,26,3.0,16.0,13.0,3.0,5.0,44.0,0.0,1.0,22.0,17.0,22.0
Riqui Puig,0.0,23,31.0,28,4.0,42.0,38,38.0,2.0,14.0,14.0,1.0,0.0,23,21.0,4.0,2.0,5.0,13.0,7.0,0.0,6.0,20.0,11.0,28.0
Ilaix Moriba,0.0,14,30.0,27,4.0,19.0,24,0.0,0.0,14.0,10.0,0.0,10.0,22,10.0,27.0,25.0,12.0,6.0,16.0,0.0,7.0,17.0,2.0,8.0
